id,Star,Bedrooms,Baths,neighbourhood_group,latitude,longitude,room_type,price,availability_365
11704581,4.53,1,1,Friedrichshain-Kreuzberg,52.51693,13.42623,Shared room,117,244
11712065,4.76,Studio,1,Mitte,52.5331,13.40159,Entire home/apt,123,8
11811449,No_Stars,1,1,Friedrichshain-Kreuzberg,52.5118,13.4612,Private room,31,0
11732853,4.67,2,1,Friedrichshain-Kreuzberg,52.50392,13.4184,Entire home/apt,114,39
11811523,4.44,Studio,1,Friedrichshain-Kreuzberg,52.50443,13.41827,Entire home/apt,50,168
11816926,4.80,3,1,Neukölln,52.47445,13.45167,Private room,30,0
11733121,5.0,1,1,Mitte,52.50313,13.37247,Entire home/apt,113,0
11821430,No_Stars,1,1,Pankow,52.54612,13.42478,Private room,35,0
11743062,4.50,Studio,1,Friedrichshain-Kreuzberg,52.50069,13.38848,Entire home/apt,87,0
11826945,No_Stars,1,1,Friedrichshain-Kreuzberg,52.49072,13.41815,Private room,33,0
11746050,4.70,3,1,Pankow,52.55195618,13.41371346,Entire home/apt,300,126
11831490,4.71,1,1,Charlottenburg-Wilm.,52.52573,13.30173,Private room,30,0
12047079,4.56,2,1,Mitte,52.53002167,13.40484047,Entire home/apt,186,286
11833825,4.93,Studio,1,Friedrichshain-Kreuzberg,52.51801,13.46882,Entire home/apt,105,22
12047604,4.51,2,1,Mitte,52.53002167,13.40484047,Entire home/apt,396,277
11835665,No_Stars,1,1,Neukölln,52.48253,13.44017,Private room,28,0
12047874,4.81,1,1,Neukölln,52.49394989,13.42630959,Entire home/apt,210,266
12048269,4.65,3,2,Mitte,52.53002167,13.40484047,Entire home/apt,437,251
11841084,4.80,Studio,1,Steglitz - Zehlendorf,52.46369,13.30882,Entire home/apt,45,0
12053231,No_Stars,1,1,Mitte,52.53684,13.40519,Private room,27,0
11847541,4.95,1,1,Friedrichshain-Kreuzberg,52.50826,13.44691,Entire home/apt,59,208
12060184,4.87,1,1,Friedrichshain-Kreuzberg,52.4959,13.44082,Entire home/apt,120,49
11859836,No_Stars,1,1,Neukölln,52.47691,13.44497,Private room,25,0
12062058,4.91,1,1,Mitte,52.53558,13.39901,Entire home/apt,85,0
12067342,No_Stars,3,2,Pankow,52.54361,13.41575,Entire home/apt,130,0
11865663,No_Stars,1,1,Mitte,52.55194,13.378,Private room,20,0
12077104,No_Stars,1,1,Mitte,52.52586,13.32816,Private room,25,0
12079636,4.75,Studio,1,Friedrichshain-Kreuzberg,52.5046,13.42713,Entire home/apt,29,0
11868041,No_Stars,1,1,Friedrichshain-Kreuzberg,52.50735,13.4544,Entire home/apt,21,173
12106600,No_Stars,1,1,Mitte,52.53226,13.40628,Entire home/apt,50,0
11868459,No_Stars,2,1,Pankow,52.53363,13.42193,Entire home/apt,80,0
12107131,No_Stars,1,1,Charlottenburg-Wilm.,52.49557,13.28482,Entire home/apt,55,0
11883697,No_Stars,1,1,Mitte,52.49998,13.36766,Private room,20,0
11883780,4.77,1,1,Friedrichshain-Kreuzberg,52.50618,13.43077,Entire home/apt,111,1
12108774,5.0,1,1,Mitte,52.50988,13.40719,Entire home/apt,33,0
11885171,4.81,1,1,Tempelhof - Schöneberg,52.49827,13.34787,Entire home/apt,97,60
12110725,No_Stars,1,1,Neukölln,52.47796,13.4389,Private room,30,0
11887643,4.27,1,1,Mitte,52.52792,13.32414,Private room,27,0
11899062,4.90,3,2,Neukölln,52.48537,13.42459,Entire home/apt,499,318
11899985,4.77,3,1,Mitte,52.52046,13.39092,Entire home/apt,139,42
12117451,4.87,2,1,Marzahn - Hellersdorf,52.48014,13.56488,Entire home/apt,89,295
11901953,4.94,1,1,Neukölln,52.46943,13.42779,Entire home/apt,88,111
11902432,No_Stars,1,1,Tempelhof - Schöneberg,52.48791,13.33935,Private room,20,0
12120894,4.94,3,1,Pankow,52.54066,13.40971,Entire home/apt,310,43
12134280,No_Stars,2,1,Mitte,52.56302,13.39133,Private room,20,0
11904018,5.0,1,1,Neukölln,52.4689,13.43282,Entire home/apt,90,88
12134770,No_Stars,1,1,Neukölln,52.49335,13.4252,Entire home/apt,70,0
12143165,5.0,1,1,Mitte,52.53657,13.40158,Private room,210,7
11914556,4.77,2,1,Neukölln,52.47558,13.42254,Entire home/apt,217,52
11918502,4.67,1,1,Friedrichshain-Kreuzberg,52.49628,13.40282,Private room,32,0
12148404,No_Stars,1,1,Lichtenberg,52.51664,13.4816,Private room,25,0
11920387,4.56,2,1,Neukölln,52.48361,13.43087,Entire home/apt,65,0
12159764,5.0,1,1,Pankow,52.54326,13.42379,Private room,46,0
11922402,4.68,2,1,Spandau,52.52915,13.16387,Private room,49,71
12162674,4.80,1,1,Neukölln,52.47135,13.43121,Entire home/apt,50,0
12166544,4.80,Studio,1,Neukölln,52.48527,13.43218,Entire home/apt,58,0
11923493,No_Stars,1,1,Friedrichshain-Kreuzberg,52.49425,13.43296,Private room,22,0
12179772,4.50,2,1,Friedrichshain-Kreuzberg,52.49112,13.42087,Private room,50,0
11932837,4.71,1,1,Neukölln,52.49305,13.42533,Entire home/apt,159,92
12185240,4.69,1,1,Tempelhof - Schöneberg,52.49827,13.34787,Entire home/apt,97,55
12187362,4.96,2,1,Friedrichshain-Kreuzberg,52.50063,13.43983,Entire home/apt,116,1
